,GlaThiDa_index,RGI_index,0
0,0,80628,0.1678996020065332
1,1,80565,0.0
2,2,80590,0.33722866300825605
3,3,45007,0.8785080979274649
4,3,45024,0.6104579942232572
5,3,45028,0.9879129777013285
6,3,45885,0.0
7,4,39548,0.0
8,5,45912,0.0
9,6,43606,0.0
10,7,43915,0.34260613066181356
11,7,43921,0.39645585959401825
12,8,42543,0.7007412408996226
13,8,42544,0.7148556660405365
14,8,42545,0.4172303897633204
15,8,42546,0.7116020416096703
16,8,42607,0.0
17,8,42613,0.6870695843438741
18,8,42618,0.5157403191965261
19,8,42619,0.7852858744429443
20,8,42624,0.893987899241795
21,10,40980,0.0
22,10,41028,0.8031777937011841
23,11,41028,0.9890329457453123
24,11,45900,0.9278181813153165
25,11,45901,0.6169989932680215
26,11,45902,0.49845088260566073
27,12,40860,0.7946826382373748
28,12,40861,0.11173936361856711
29,12,40862,0.4680239295093532
30,12,40871,0.9745883272030238
31,12,40874,0.6995563820628318
32,13,40848,0.5685838322808904
33,13,40849,0.8916036517470471
34,13,40853,0.5648738491415659
35,13,40854,0.41875883771942835
36,13,40855,0.5747819526376434
37,13,40856,0.7341399678105154
38,13,40903,0.8877959887193297
39,13,40904,0.7467699553069195
40,13,40906,0.9768893335109736
41,13,45928,0.5685838322808904
42,14,45899,0.02777875321889994
43,14,45900,0.9522903075637881
44,15,41441,0.9179462065469711
45,15,41445,0.8497343223742786
46,16,40848,0.5105239404587045
47,16,40849,0.7213730963372716
48,16,40850,0.8061917700555846
49,16,40854,0.9268600166744123
50,16,40855,0.9322740604291986
51,16,40856,0.9024781437618956
52,16,40863,0.8424792560070382
53,16,45928,0.5105239404587045
54,17,40981,0.13844771005714498
55,17,41034,0.7592135494160677
56,17,41048,0.9903279886611258
57,17,41054,0.6923126715278066
58,17,41055,0.9459290543562167
59,17,45901,0.7334657202462749
60,17,45902,0.8733399716403538
61,18,41059,0.970236547840558
62,18,41060,0.6376290682187525
63,18,41061,0.596293938263867
64,18,45900,0.573255495550389
65,19,40925,0.8641655997149164
66,19,40935,0.005846969573859903
67,19,40938,0.9236253216448621
68,19,40939,0.7735440350798687
69,19,40940,0.5895070385533813
70,19,40941,0.39107310372246734
71,19,40945,0.9985922152582324
72,20,45898,0.3735527457325677
73,21,41443,0.7933260855485803
74,21,45925,0.7933260855485803
75,21,45926,0.7933260855485803
76,22,40983,0.8223458292911516
77,22,40984,0.3402783197665651
78,23,40911,0.8733552447351363
79,23,40912,0.12891101430344507
80,23,40914,0.9970056905401461
81,23,40932,0.7314419307775539
82,23,40934,0.7390192577650413
83,23,40936,0.935646175828528
84,24,40992,0.0
85,24,41032,0.9231907747775351
86,24,41033,0.6161015700154856
87,25,41384,0.1636618822109753
88,26,40992,0.9260464650728258
89,26,41028,0.8928675027612869
90,26,41031,0.2122045343759554
91,26,41032,0.8737960109412806
92,26,41033,0.6939570725603363
93,26,41034,0.8596211319120433
94,28,40983,0.5337372805842868
95,28,40999,0.7896363814398912
96,29,41443,0.48982094246889035
97,29,41475,0.9713673082983679
98,29,41480,0.8216092793916083
99,29,41485,0.5720207537326442
100,29,41486,0.328498064726598
101,29,45925,0.48982094246889035
102,29,45926,0.48982094246889035
103,31,40982,0.46506347902044437
104,32,44846,0.04901848705898976
105,33,1103,0.6435562058081709
106,34,86598,5.573499594145659e-05
107,35,86565,0.9619163368628674
108,35,86595,0.0005657426686938662
109,36,86600,0.0003214797354311427
110,37,86569,0.00021761406574806
111,37,86570,0.6331670615694646
112,37,86571,0.6608774444792332
113,37,86572,0.8187999126445238
114,37,86573,0.993568631621004
115,38,102803,0.00047747446375025643
116,39,103884,0.4877822492951185
117,40,107438,8.818739801059223e-05
118,41,103885,0.0003878464054920743
119,42,102190,0.0002734712282999446
120,43,104453,0.7067328795248191
121,43,104612,0.557301889428972
122,45,113925,0.00021963059984353946
123,46,88127,0.0005556175650089877
124,47,101015,0.00031347846931331424
125,48,101026,4.6147792947027034e-05
126,49,101431,0.7758394155731315
127,49,101432,0.0004909187017809303
128,49,101433,0.695998322607238
129,50,101408,0.32079155824238303
130,51,101405,0.5063605633989123
131,51,101406,0.5673369680101936
132,51,101407,0.5783142639257455
133,52,101414,0.16868317995099
134,52,101415,0.7986889880296288
135,52,101416,0.7934347497245043
136,53,101376,0.00029427907482897574
137,54,101371,0.9534757107807165
138,54,101373,0.00037580355328387696
139,56,101383,0.0004833344836569544
140,57,101452,0.5243518065990728
141,57,101453,0.41044622119782465
142,58,101450,0.000520610150608072
143,58,101451,0.8845780809767169
144,59,101448,0.997148049908501
145,59,101493,0.6741818984272464
146,59,101494,0.00034850195167364953
147,60,101487,0.8357977424050639
148,61,101501,0.5478594449273447
149,62,101507,0.0002030865796268943
150,63,101484,0.4746727333692014
151,64,101527,0.6400925815366634
152,64,101528,0.8958849996656193
153,64,101531,0.00030115348727266045
154,65,101539,0.41726479465752325
155,66,101540,0.0004091255626519734
156,67,101232,0.04550607800045675
157,68,101227,0.800041724751991
158,68,101231,0.045360668123084126
159,69,101249,0.8392123649699702
160,69,101261,0.00011422887959425334
161,70,101222,0.23962869351691532
162,72,101213,0.8608267642897803
163,72,101214,0.18181051369793907
164,73,101205,0.022947116923179474
165,73,101206,0.8701808156982411
166,74,101204,0.26632180865863897
167,74,101209,0.8964849336578478
168,75,101209,0.8838958229462036
169,75,101210,0.46014698436233537
170,75,101554,0.8370919676062469
171,76,101143,0.51417780811461
172,76,101148,0.9476811257816946
173,77,101154,0.00047666445493805653
174,78,101174,0.0003932508139760958
175,79,101032,0.29307710771751494
176,80,101033,0.5506694650025161
177,81,101029,0.07987099414193687
178,82,101096,0.21107061216957151
179,83,101046,0.10936060266571145
180,83,101582,0.7506271908112588
181,84,101047,0.3307559516737138
182,85,101120,0.00024385941454018047
183,85,101121,0.9827208731392516
184,85,101124,0.9987572837667537
185,86,101111,0.956561193877196
186,86,101114,0.24884851146797904
187,87,101095,0.3169426647403627
188,88,101111,0.22232026699425736
189,88,101114,0.9174615043529868
190,89,101106,0.9762225392651708
191,89,101112,0.1070482579873891
192,90,101333,0.3037660057823912
193,91,101325,0.00022968631550438498
194,92,90422,0.2581526555733858
195,93,92787,0.712464323496717
196,94,90325,0.0
197,95,90760,0.7207834163274847
198,96,90017,0.4922521649476648
199,96,90019,0.3492360050881047
200,97,90901,0.6409358889703556
201,98,90793,0.4719237092923469
202,98,90828,0.38938649009083154
203,99,90016,0.7002224373853436
204,99,90021,0.840744026939588
205,100,90911,0.8861616530636413
206,101,90801,0.497070142065877
207,102,90120,0.2697600609740151
208,103,90020,0.09391657147665311
209,104,90028,0.3129971316388656
210,104,90029,0.9463882018761571
211,104,90032,0.5118736147542595
212,105,90501,0.31240336513064476
213,106,90733,0.449109132741196
214,108,79841,0.5554417957975779
215,109,78991,0.0
216,110,79355,0.4541443109333605
217,111,79894,0.3919012209024919
218,112,79266,0.8487766056240343
219,113,79265,0.7671399848862731
220,114,79822,0.1093877649154756
221,115,79842,0.0
222,116,78992,0.1711909017911818
223,117,79255,0.870134829356794
224,118,78994,0.36679142604685283
225,123,78880,0.5168549349129137
226,124,79843,0.439668881864329
227,129,79074,0.463659427230216
228,131,79073,0.40268776284867586
229,132,79844,0.7660885224417171
230,138,79067,0.27371216807039517
231,140,79225,0.6753386917944632
232,149,79063,0.0
233,153,79053,0.905980404881743
234,153,79054,0.5167809958609572
235,154,79054,0.9563710819004639
236,175,84645,0.0
237,196,89948,0.0005205708347680011
238,196,89978,0.7222561490570112
239,197,89950,0.00046255500163068297
240,198,2235,0.6228460712120357
241,199,45906,0.2750781970269604
242,202,16369,0.0
243,210,90295,0.7674217459834752
244,210,90303,0.0
245,210,90324,0.7919659983539153
246,211,90265,0.3955958324619878
247,211,90281,0.5171753194890801
248,213,90311,0.7010404073178094
249,213,90313,0.7238837957549843
250,213,90314,0.8797305900433828
251,213,90320,0.13664963129649468
252,213,90332,0.3027506426451699
253,213,90334,0.8269524474402197
254,214,90311,0.6765534535578314
255,214,90313,0.9657816420857568
256,214,90314,0.09120161739123687
257,214,90320,0.8910632909231645
258,214,90332,0.7187461451809405
259,218,90849,0.9137637191124003
260,218,90857,0.7597179913950759
261,219,124665,0.0
262,220,188508,0.29579113028620674
263,231,2235,0.6228460712120357
264,232,90295,0.7674217459834752
265,232,90303,0.0
266,232,90324,0.7919659983539153
267,233,90311,0.7010404073178094
268,233,90313,0.7238837957549843
269,233,90314,0.8797305900433828
270,233,90320,0.13664963129649468
271,233,90332,0.3027506426451699
272,233,90334,0.8269524474402197
273,234,90311,0.6765534535578314
274,234,90313,0.9657816420857568
275,234,90314,0.09120161739123687
276,234,90320,0.8910632909231645
277,234,90332,0.7187461451809405
278,235,90265,0.3955958324619878
279,235,90281,0.5171753194890801
280,236,90532,0.0
281,237,90793,0.4719237092923469
282,237,90828,0.38938649009083154
283,238,90821,0.3296131593709728
284,238,90852,0.5083650353909656
285,238,90856,0.5436284825607802
286,239,90473,0.14895093918177002
287,240,90082,0.4324060743117335
288,240,90117,0.7450744874377421
289,240,90121,0.9718004580639151
290,241,90325,0.0
291,242,90501,0.31240336513064476
292,243,90149,0.627178316934
293,244,90733,0.449109132741196
294,246,90120,0.2697600609740151
295,250,215807,0.1938600655854649
296,259,69114,0.0
297,265,80689,0.04402212353174984
298,266,82034,0.0
299,271,192994,0.6692713741188286
300,271,192996,0.4486195716156466
301,271,192997,0.0004422971365519735
302,271,192999,0.8985544082414101
303,271,193000,0.6583761260143715
304,273,44001,0.8907858728784857
305,273,44130,0.0
306,273,44131,0.8904989013609732
307,274,214390,0.8635289631143546
308,276,90652,0.08957213116997907
309,280,86593,0.7407727019418777
310,281,87302,0.5480415525054263
311,281,87311,0.6484934587098055
312,281,87322,0.9629734337315337
313,281,87323,0.00025013556733627124
314,282,86569,0.00021761406574806
315,282,86570,0.6331670615694646
316,282,86571,0.6608774444792332
317,282,86572,0.8187999126445238
318,282,86573,0.993568631621004
319,283,86562,0.605065442536383
320,283,86580,0.00017936153804111655
321,284,86559,0.7861471394426173
322,284,86599,0.0002056086967745489
323,285,86569,0.6609250355961088
324,285,86570,0.8898358154556544
325,285,86571,0.0003053584305956849
326,285,86573,0.657369554445396
327,286,87289,0.9859828993935866
328,286,87327,0.0005060108482749286
329,287,87319,0.0006035884606658109
330,287,87321,0.5565607151602253
331,288,87267,0.7842188167918186
332,288,87268,0.8012936257829602
333,288,87269,0.8362263707341001
334,288,87270,0.0004662978687275746
335,289,87287,0.00020908819860336538
336,289,87307,0.6665692010339452
337,290,86710,0.0003411303809240326
338,291,85647,0.6454338378711919
339,291,85930,0.7051086959869682
340,291,85931,0.6338580031118449
341,291,85932,0.0005050967242342587
342,291,85933,0.6323162778068803
343,292,85951,0.901261268240524
344,292,86026,0.00026567920317324564
345,293,86672,0.5839413023887456
346,293,86673,0.0002682056278391556
347,294,86577,0.00014974758195226515
348,295,86593,0.0003269254538093039
349,296,86697,5.155424854183814e-05
350,297,85624,0.911892791414726
351,297,85625,0.0004595468781371449
352,297,85639,0.7953054208428466
353,298,86571,0.9866450993440499
354,299,87293,0.00044994698143919283
355,299,87309,0.9084144238621507
356,300,85606,0.8761277122043974
357,300,85632,0.00014295841824139738
358,301,87303,0.0003800320551876739
359,301,87311,0.6217737463287974
360,302,87298,0.9398218967967202
361,302,87304,0.00038508631520262526
362,303,86633,0.00015432522865691976
363,303,86711,0.9832360602627324
364,303,86712,0.8576003159655046
365,308,86600,0.0003214797354311427
366,309,85644,0.9453268028406266
367,309,85922,0.3772394607981838
368,310,86706,0.5696509438429526
369,311,86601,0.10506754937236404
370,312,87324,0.00039733089189319444
371,314,86625,0.5846095556752773
372,314,86690,0.0006002912941006736
373,314,86691,0.8479915771037487
374,315,86626,0.0005044189457048648
375,316,85680,0.00039033705619815663
376,316,85692,0.6373684079922907
377,316,85699,0.6903875720352595
378,316,85715,0.9766172233632537
379,316,85717,0.7866684613831971
380,317,86616,0.8534229409179788
381,317,86617,0.8186931696026027
382,317,86618,0.9410872667899618
383,318,86690,0.84815323948321
384,318,86691,9.780369608197269e-05
385,319,86628,0.00011809138664706428
386,319,86629,0.41003305874828877
387,319,86630,0.7492496340474583
388,320,86701,0.00017514077558565866
389,321,86658,0.0003316968036545896
390,322,86025,0.0005135489923329589
391,322,86027,0.8628834546578572
392,322,86037,0.600651500134246
393,323,86661,0.8334566204470238
394,323,86663,0.0002115975762125574
395,324,86680,0.0006329565903120671
396,325,86031,0.33283155584317237
397,326,86622,0.00024619586614218
398,326,86652,0.640528578530053
399,327,86677,0.00046631928868733297
400,328,86674,0.00026557293027330267
401,329,85657,0.9027358119115826
402,329,85671,0.7760394433985432
403,329,85691,0.9929928354007685
404,329,85692,0.9713462991722526
405,329,85693,0.00014769999028696018
406,330,86696,0.00047157884773531543
407,331,85925,0.0005690287048732996
408,332,86678,0.00038389586976465026
409,333,86679,0.8939818034042125
410,333,86704,0.0005289333045087069
411,334,85921,0.00029359126900141815
412,334,85938,0.8313757636000768
413,335,86705,0.00013395582285910147
414,364,87522,0.7845864311585702
415,384,93260,0.854747166293584
416,385,93261,0.07555891448894567
417,385,93262,0.23722049616616667
418,386,93263,0.16858359885879926
419,387,93264,0.40708959589730603
420,387,93265,0.019036656570697714
421,388,93266,0.11651666088712735
422,395,92787,0.0
423,396,79876,0.12782394688075568
424,400,92947,0.8676405170463034
425,402,104453,0.7067328795248191
426,402,104612,0.557301889428972
427,403,104453,0.7067328795248191
428,403,104612,0.557301889428972
429,404,202155,0.5925029380275549
430,413,90652,0.08957213116997907
431,442,92810,0.0
432,443,92815,0.9273945780961599
433,444,92904,0.7401899010608729
434,445,90576,0.0
435,445,90580,0.7552630735098387
436,445,90605,0.8611661547504206
437,445,90620,0.8200901048421108
438,446,91773,0.8994825694313894
439,446,91790,0.21134449792171084
440,447,90661,0.0
441,447,90674,0.9921622466346032
442,448,90611,0.9866030255278483
443,450,91827,0.3549552590415218
444,450,91855,0.8201110905773696
445,451,90603,0.9553813547953768
446,451,90604,0.18061750627980236
447,452,91038,0.3085146725942705
448,452,91054,0.7980492582309373
449,452,91055,0.6832976930515982
450,453,90591,0.8882089020093538
451,453,90617,0.11583920290236639
452,454,91487,0.39516261269545405
453,454,91496,0.9630819557393534
454,456,90964,0.5917674792589342
455,456,91022,0.9095396160743806
456,457,91804,0.4782363142415049
457,457,91828,0.6686925970328311
458,458,91618,0.8114768344208271
459,458,91688,0.9338709349937115
460,458,91723,0.42460466950498715
461,459,90390,0.6499435497387737
462,460,90339,0.5679540880206118
463,460,90346,0.6151714208312947
464,460,90347,0.9516738032665545
465,461,90463,0.9595258896261809
466,461,90464,0.045113611910797935
467,461,90471,0.9369416556353725
468,462,90464,0.8973678251134232
469,462,90471,0.06182644822946904
470,463,90422,0.2581526555733858
471,464,90684,0.16986154018785413
472,464,90695,0.7226402756237758
473,465,90532,0.0
474,466,90562,0.4664701887412996
475,467,90850,0.6006162774497273
476,467,90854,0.8257456921719658
477,467,90867,0.5707079822529435
478,467,90889,0.953765404533357
479,467,90897,0.7100067562954416
480,468,90598,0.7500407001548833
481,468,90602,0.018846726661840247
482,468,90606,0.7147051372367406
483,468,90613,0.5500529127467105
484,469,90325,0.0
485,470,90760,0.7207834163274847
486,471,90235,0.6750104282902243
487,471,90244,0.8841894752690564
488,471,90259,0.9271395548065883
489,471,90268,0.08151541807590763
490,472,90126,0.0
491,472,90133,0.7453821349392732
492,473,90367,0.1487124567773879
493,473,90377,0.9596784575636349
494,474,90901,0.6409358889703556
495,475,90016,0.22901102177499233
496,475,90019,0.9758857975492827
497,475,90021,0.998690735709309
498,476,90911,0.8861616530636413
499,477,90317,0.28911901347989283
500,478,90971,0.47953873711152883
501,479,90473,0.14895093918177002
502,480,90795,0.15315527548981736
503,481,90662,0.9294645805182843
504,481,90677,0.3396869608150212
505,482,90801,0.497070142065877
506,484,90309,0.815361337605643
507,485,90309,0.8954192192931657
508,485,90357,0.8069821099996657
509,485,90363,0.5375024882264468
510,486,90972,0.8885668141592736
511,488,91006,0.1989080581372233
512,489,90319,0.6330403079382105
513,489,90330,0.4630047046204578
514,489,90333,0.09120671574295006
515,491,90811,0.390281955461721
516,492,90138,0.41940417944719316
517,492,90164,0.83431506393093
518,493,90746,0.0819970460445515
519,494,90120,0.2697600609740151
520,495,90175,0.27144332197955995
521,496,90662,0.3136731607671667
522,496,90689,0.8366364946104647
523,497,90885,0.6003517198860445
524,499,90602,0.9202589529385323
525,499,90606,0.6591735604161131
526,500,90020,0.09391657147665311
527,501,90149,0.627178316934
528,502,90028,0.3129971316388656
529,502,90029,0.9463882018761571
530,502,90032,0.5118736147542595
531,503,90406,0.3714113746441808
532,504,90429,0.835066847244565
533,504,90472,0.957223888142642
534,506,90712,0.3231989722238912
535,506,90728,0.5472861196915294
536,506,90731,0.7392989854873935
537,507,90079,0.9761717407144813
538,507,90087,0.566587005582503
539,507,90094,0.43705530078373866
540,508,90555,0.05137742138654928
541,508,90608,0.7797502431087368
542,509,90501,0.31240336513064476
543,510,90701,0.0
544,510,90713,0.6992520962442998
545,511,90688,0.27347492318107886
546,511,90689,0.4193248706344408
547,512,90994,0.8815157143538991
548,512,91010,0.053397114367594485
549,513,90292,0.29168038038144006
550,513,90315,0.9735791473159434
551,514,90082,0.4324060743117335
552,514,90117,0.7450744874377421
553,514,90121,0.9718004580639151
554,515,90821,0.3296131593709728
555,515,90852,0.5083650353909656
556,515,90856,0.5436284825607802
557,516,90113,0.9391249335907119
558,516,90121,0.8246771737285993
559,516,90124,0.3371611390621824
560,517,90698,0.19594192641192076
561,518,90483,0.04040934588069719
562,519,90784,0.47262182072525244
563,519,90797,0.8745710492333085
564,520,90595,0.46187521018891486
565,520,90598,0.16126007894536076
566,520,90602,0.6171472747113067
567,520,90613,0.5816990405896276
568,521,90733,0.449109132741196
569,522,191891,0.8750919005447348
570,522,191895,0.6947300272921284
571,522,191896,0.0
572,523,192714,0.0
573,524,191905,0.8075419372542705
574,524,191907,0.9878269055463785
575,526,91976,0.0774875996518401
576,526,92015,0.6528015894332007
577,526,92036,0.9005309670670983
578,527,91358,0.0
579,527,91390,0.9149469876773363
580,528,92015,0.6607381783762374
581,528,92036,0.5383042245064243
582,528,92038,0.15333631371813602
583,528,92085,0.8709128848348967
584,529,91506,0.15807531925021187
585,529,91507,0.6690846618162023
586,529,91510,0.9812452881690452
587,530,92459,0.7236113898337078
588,530,92462,0.0
589,530,92465,0.7802765079357086
590,531,90699,0.8873220055653486
591,531,90702,0.7607206110002448
592,531,90703,0.10217299741761526
593,531,90709,0.8487926228751432
594,531,90718,0.5414080066628972
595,531,90721,0.7458795244081968
596,532,91358,0.9149469876773363
597,532,91381,0.8046857272782095
598,532,91390,0.0
599,533,90703,0.8520278499382911
600,533,90709,0.07755753050006078
601,533,90718,0.6356180876486998
602,533,90721,0.5328833251444189
603,534,92258,0.0
604,535,91358,0.9200354869716609
605,535,91381,0.1810628054253212
606,535,91390,0.7830489269398301
607,536,92613,0.9700960416359116
608,536,92614,0.12045468117107135
609,537,92263,0.0
610,537,92279,0.8699386256801027
611,539,209390,0.06721384707111722
612,540,209341,0.1102212087971292
613,541,208950,0.05874863653445305
614,542,208352,0.4731472697428244
615,542,208391,0.15591895227107122
616,544,208088,0.10306265453761573
617,545,207975,0.7363154296268737
618,546,195413,0.928347335650013
619,546,195415,0.24006836746143345
620,546,195478,0.7701616251511078
621,547,195411,0.6695595278966084
622,548,195474,0.3482591387036577
623,550,207178,0.8970613880376344
624,550,207182,0.639195553083137
625,552,206904,0.8014660111933661
626,553,206838,0.8300812625945582
627,555,206689,0.5733466006546002
628,555,206693,0.9864822942319632
629,555,206695,0.9828124553544352
630,555,206697,0.9179823995943797
631,556,206677,0.9980927237131887
632,557,208168,0.1346803000688852
633,558,208179,0.5368681792388367
634,558,208182,0.5978982130059027
635,558,208185,0.18565919006307713
636,559,208187,0.3109918149072068
637,559,208192,0.46703003383910985
638,560,208158,0.44024711399512184
639,561,208044,0.9573740063643547
640,563,208035,0.9822043549924082
641,563,208050,0.05147356828557764
642,564,208010,0.13438573573589985
643,565,207972,0.25966086028915625
644,568,80689,0.04402212353174984
645,569,80826,0.024661979699468616
646,569,81371,0.8648297943841338
647,570,81343,0.05083179050783939
648,571,81364,0.057650001175929035
649,572,81635,0.23568353466603548
650,581,94067,0.817937292173677
651,581,95073,0.0
652,582,94067,0.817937292173677
653,582,95073,0.0
654,583,94901,0.3993517027299309
655,584,79190,0.0
656,585,79171,0.0
657,592,141160,0.9735710278945401
658,592,141161,0.02669071486115713
659,593,30518,0.0
660,595,141059,0.17035717300909153
661,596,141160,0.9735710278945401
662,596,141161,0.02669071486115713
663,597,141160,0.9735710278945401
664,597,141161,0.02669071486115713
665,598,141160,0.25447022523578966
666,598,141161,0.9641862558239913
667,598,141341,0.8612914639312125
668,598,141343,0.7560182061108011
669,599,103884,0.4877822492951185
670,601,58457,0.5051423217450641
671,604,127363,0.0
672,605,125355,0.9850110426052049
673,605,143071,0.6550980570587323
674,605,143073,0.0
675,606,144037,0.0
676,607,138991,0.0
677,608,128156,0.0
678,609,65935,0.0
679,610,65150,0.5263275023086565
680,612,83027,0.4581172763265321
681,613,83043,0.39551027505338543
682,614,83027,0.4581172763265321
683,615,83070,0.3384764399425397
684,617,79799,0.0
685,618,79852,0.0
686,619,79878,0.13244076991545206
687,620,79843,0.0
688,621,79862,0.0
689,622,79848,0.0
690,623,80328,0.0
691,624,79827,0.0
692,625,79857,0.0
693,626,79853,0.0
694,627,104453,2.4937825007122235e-05
695,628,79842,0.0
696,629,79844,0.0
697,630,80179,0.0
698,631,79841,0.0
699,632,193014,0.28555102494039664
700,632,193015,0.7708411951346038
701,632,193016,0.9531047251002626
702,745,78971,0.0
703,833,79258,0.0
704,1011,90204,0.21540839490782196
